11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpnrf4_reduced.lp,98179,76606,145387,67444,76606,145387,67444,74572,68605,74572,68605
../Dataset/ReducedLP/scpnrf4_reduced.lp,57914,63661,68480,68222,63661,68480,68222,61058,65748,61058,65748
../Dataset/ReducedLP/scpnrf4_reduced.lp,63332,90274,59724,66302,90274,59724,66302,94089,102108,94089,102108
../Dataset/ReducedLP/scpnrf4_reduced.lp,68638,64261,69618,66374,64261,69618,66374,74208,72743,74208,72743
../Dataset/ReducedLP/scpnrf4_reduced.lp,72027,66298,110545,63615,66298,110545,63615,79380,98203,79380,98203
../Dataset/ReducedLP/scpnrf4_reduced.lp,57583,61400,84671,95737,61400,84671,95737,64065,69352,64065,69352
../Dataset/ReducedLP/scpnrf4_reduced.lp,70799,69007,60555,67413,69007,60555,67413,61653,56659,61653,56659
../Dataset/ReducedLP/scpnrf4_reduced.lp,60386,68198,59918,70682,68198,59918,70682,104371,55346,104371,55346
../Dataset/ReducedLP/scpnrf4_reduced.lp,66894,55711,66340,82991,55711,66340,82991,65244,67846,65244,67846
../Dataset/ReducedLP/scpnrf5_reduced.lp,76543,100092,53557,49166,100092,53557,49166,98437,203809,98437,203809
../Dataset/ReducedLP/scpnrf5_reduced.lp,88434,89090,140367,78547,89090,140367,78547,67011,81837,67011,81837
../Dataset/ReducedLP/scpnrf5_reduced.lp,76428,90492,113992,238035,90492,113992,238035,103903,284057,103903,284057
../Dataset/ReducedLP/scpnrf5_reduced.lp,61145,84957,56732,291903,84957,56732,291903,316867,66202,316867,66202
../Dataset/ReducedLP/scpnrf5_reduced.lp,112317,36513,79940,176365,36513,79940,176365,63613,244799,63613,244799
../Dataset/ReducedLP/scpnrf5_reduced.lp,57128,265415,412596,82948,265415,412596,82948,98026,68062,98026,68062
../Dataset/ReducedLP/scpnrf5_reduced.lp,59384,308895,75765,206869,308895,75765,206869,375312,86860,375312,86860
../Dataset/ReducedLP/scpnrf5_reduced.lp,69980,71385,518896,46165,71385,518896,46165,85793,60056,85793,60056
../Dataset/ReducedLP/scpnrf5_reduced.lp,286647,348787,131912,58025,348787,131912,58025,93311,339284,93311,339284
../Dataset/ReducedLP/scpnrf5_reduced.lp,52829,70708,76531,68298,70708,76531,68298,269817,49589,269817,49589
../Dataset/ReducedLP/scpnrg1_reduced.lp,1858812,2045776,1917535,1893053,1939999,1939143,1939999,1931533,1699704,2077716,2075310
../Dataset/ReducedLP/scpnrg1_reduced.lp,1822250,2182572,1855890,1855890,2091987,2096995,2094177,2138546,1630906,2231381,2243754
../Dataset/ReducedLP/scpnrg1_reduced.lp,2476346,2113667,1904242,1905681,2095298,2109840,2100576,1448527,1706900,2177474,2163233
../Dataset/ReducedLP/scpnrg1_reduced.lp,2138117,1904700,2048477,2041430,2094500,2092126,2099327,2023424,1826701,2101637,2104629
../Dataset/ReducedLP/scpnrg1_reduced.lp,2212276,2104803,1559096,1559096,2006694,2017379,2008691,1859623,1575081,2150344,2150344
../Dataset/ReducedLP/scpnrg1_reduced.lp,1850854,1942902,1881911,1882582,1887800,1886165,1878156,1783201,1582326,1997508,1993927
../Dataset/ReducedLP/scpnrg1_reduced.lp,2447778,2175339,1902783,1902783,2159222,2159222,2159222,1970659,1786560,2214916,2214916
../Dataset/ReducedLP/scpnrg1_reduced.lp,2323266,2248059,1960251,1959830,2393042,2387808,2379776,1803007,1570821,2229898,2229898
../Dataset/ReducedLP/scpnrg1_reduced.lp,2383678,1974321,1902596,1908576,1939626,1935260,1934252,1740999,1839378,1999745,1993638
../Dataset/ReducedLP/scpnrg1_reduced.lp,2390937,2119431,2070581,2077805,1926551,1918156,1942786,1760699,1735606,2301216,2322196
../Dataset/ReducedLP/scpnrg2_reduced.lp,289150,1164442,1396707,1396707,2281012,2281012,2281012,913469,1867866,1672143,1672143
../Dataset/ReducedLP/scpnrg2_reduced.lp,1376563,1093259,1927728,1927728,1554624,1554624,1554624,1602018,1007222,1298328,1298328
../Dataset/ReducedLP/scpnrg2_reduced.lp,1422496,318451,368108,368108,765579,765579,765579,514026,345265,314524,314524
../Dataset/ReducedLP/scpnrg2_reduced.lp,1148329,701283,977060,977060,898216,898216,898216,1956764,803233,2038510,2038510
../Dataset/ReducedLP/scpnrg2_reduced.lp,504687,411465,579324,579324,578215,578215,578215,556227,328403,647260,647260
../Dataset/ReducedLP/scpnrg2_reduced.lp,344151,401866,542654,542654,362404,362404,362404,413842,711666,517950,517950
../Dataset/ReducedLP/scpnrg2_reduced.lp,696472,2531107,999393,999393,1113652,1113652,1113652,1018203,1893555,2145871,2145871
../Dataset/ReducedLP/scpnrg2_reduced.lp,783064,334783,713471,713471,313473,313473,313473,357065,660815,430011,430011
../Dataset/ReducedLP/scpnrg2_reduced.lp,1236896,359190,795316,795316,638408,638408,638408,640982,386646,280009,280009
../Dataset/ReducedLP/scpnrg2_reduced.lp,1812631,1868255,1093688,1093688,2768303,2768303,2768303,2113477,1354446,1375000,1375000
